,ZCTA5,STATE,COUNTY
40738,89010,6,51
40748,89019,6,27
40749,89019,6,71
40774,89060,6,27
40776,89061,6,27
40880,89439,6,91
40937,90001,6,37
40938,90002,6,37
40939,90003,6,37
40940,90004,6,37
40941,90005,6,37
40942,90006,6,37
40943,90007,6,37
40944,90008,6,37
40945,90010,6,37
40946,90011,6,37
40947,90012,6,37
40948,90013,6,37
40949,90014,6,37
40950,90015,6,37
40951,90016,6,37
40952,90017,6,37
40953,90018,6,37
40954,90019,6,37
40955,90020,6,37
40956,90021,6,37
40957,90022,6,37
40958,90023,6,37
40959,90024,6,37
40960,90025,6,37
40961,90026,6,37
40962,90027,6,37
40963,90028,6,37
40964,90029,6,37
40965,90031,6,37
40966,90032,6,37
40967,90033,6,37
40968,90034,6,37
40969,90035,6,37
40970,90036,6,37
40971,90037,6,37
40972,90038,6,37
40973,90039,6,37
40974,90040,6,37
40975,90041,6,37
40976,90042,6,37
40977,90043,6,37
40978,90044,6,37
40979,90045,6,37
40980,90046,6,37
40981,90047,6,37
40982,90048,6,37
40983,90049,6,37
40984,90056,6,37
40985,90057,6,37
40986,90058,6,37
40987,90059,6,37
40988,90061,6,37
40989,90062,6,37
40990,90063,6,37
40991,90064,6,37
40992,90065,6,37
40993,90066,6,37
40994,90067,6,37
40995,90068,6,37
40996,90069,6,37
40997,90071,6,37
40998,90073,6,37
40999,90077,6,37
41000,90079,6,37
41001,90089,6,37
41002,90090,6,37
41003,90094,6,37
41004,90095,6,37
41005,90201,6,37
41006,90210,6,37
41007,90211,6,37
41008,90212,6,37
41009,90220,6,37
41010,90221,6,37
41011,90222,6,37
41012,90230,6,37
41013,90232,6,37
41014,90240,6,37
41015,90241,6,37
41016,90242,6,37
41017,90245,6,37
41018,90247,6,37
41019,90248,6,37
41020,90249,6,37
41021,90250,6,37
41022,90254,6,37
41023,90255,6,37
41024,90260,6,37
41025,90262,6,37
41026,90263,6,37
41027,90265,6,37
41028,90265,6,111
41029,90266,6,37
41030,90270,6,37
41031,90272,6,37
41032,90274,6,37
41033,90275,6,37
41034,90277,6,37
41035,90278,6,37
41036,90280,6,37
41037,90290,6,37
41038,90291,6,37
41039,90292,6,37
41040,90293,6,37
41041,90301,6,37
