Column1,ZCTA5,STATE,COUNTY,Column2,Column3
40738,89010,6,51,Mono,Mono - 89010
40748,89019,6,27,Inyo,Inyo - 89019
40749,89019,6,71,San Bernardino,San Bernardino - 89019
40774,89060,6,27,Inyo,Inyo - 89060
40776,89061,6,27,Inyo,Inyo - 89061
40880,89439,6,91,Sierra,Sierra - 89439
40937,90001,6,37,Los Angeles,Los Angeles - 90001
40938,90002,6,37,Los Angeles,Los Angeles - 90002
40939,90003,6,37,Los Angeles,Los Angeles - 90003
40940,90004,6,37,Los Angeles,Los Angeles - 90004
40941,90005,6,37,Los Angeles,Los Angeles - 90005
40942,90006,6,37,Los Angeles,Los Angeles - 90006
40943,90007,6,37,Los Angeles,Los Angeles - 90007
40944,90008,6,37,Los Angeles,Los Angeles - 90008
40945,90010,6,37,Los Angeles,Los Angeles - 90010
40946,90011,6,37,Los Angeles,Los Angeles - 90011
40947,90012,6,37,Los Angeles,Los Angeles - 90012
40948,90013,6,37,Los Angeles,Los Angeles - 90013
40949,90014,6,37,Los Angeles,Los Angeles - 90014
40950,90015,6,37,Los Angeles,Los Angeles - 90015
40951,90016,6,37,Los Angeles,Los Angeles - 90016
40952,90017,6,37,Los Angeles,Los Angeles - 90017
40953,90018,6,37,Los Angeles,Los Angeles - 90018
40954,90019,6,37,Los Angeles,Los Angeles - 90019
40955,90020,6,37,Los Angeles,Los Angeles - 90020
40956,90021,6,37,Los Angeles,Los Angeles - 90021
40957,90022,6,37,Los Angeles,Los Angeles - 90022
40958,90023,6,37,Los Angeles,Los Angeles - 90023
40959,90024,6,37,Los Angeles,Los Angeles - 90024
40960,90025,6,37,Los Angeles,Los Angeles - 90025
40961,90026,6,37,Los Angeles,Los Angeles - 90026
40962,90027,6,37,Los Angeles,Los Angeles - 90027
40963,90028,6,37,Los Angeles,Los Angeles - 90028
40964,90029,6,37,Los Angeles,Los Angeles - 90029
40965,90031,6,37,Los Angeles,Los Angeles - 90031
40966,90032,6,37,Los Angeles,Los Angeles - 90032
40967,90033,6,37,Los Angeles,Los Angeles - 90033
40968,90034,6,37,Los Angeles,Los Angeles - 90034
40969,90035,6,37,Los Angeles,Los Angeles - 90035
40970,90036,6,37,Los Angeles,Los Angeles - 90036
40971,90037,6,37,Los Angeles,Los Angeles - 90037
40972,90038,6,37,Los Angeles,Los Angeles - 90038
40973,90039,6,37,Los Angeles,Los Angeles - 90039
40974,90040,6,37,Los Angeles,Los Angeles - 90040
40975,90041,6,37,Los Angeles,Los Angeles - 90041
40976,90042,6,37,Los Angeles,Los Angeles - 90042
40977,90043,6,37,Los Angeles,Los Angeles - 90043
40978,90044,6,37,Los Angeles,Los Angeles - 90044
40979,90045,6,37,Los Angeles,Los Angeles - 90045
40980,90046,6,37,Los Angeles,Los Angeles - 90046
40981,90047,6,37,Los Angeles,Los Angeles - 90047
40982,90048,6,37,Los Angeles,Los Angeles - 90048
40983,90049,6,37,Los Angeles,Los Angeles - 90049
40984,90056,6,37,Los Angeles,Los Angeles - 90056
40985,90057,6,37,Los Angeles,Los Angeles - 90057
40986,90058,6,37,Los Angeles,Los Angeles - 90058
40987,90059,6,37,Los Angeles,Los Angeles - 90059
40988,90061,6,37,Los Angeles,Los Angeles - 90061
40989,90062,6,37,Los Angeles,Los Angeles - 90062
40990,90063,6,37,Los Angeles,Los Angeles - 90063
40991,90064,6,37,Los Angeles,Los Angeles - 90064
40992,90065,6,37,Los Angeles,Los Angeles - 90065
40993,90066,6,37,Los Angeles,Los Angeles - 90066
40994,90067,6,37,Los Angeles,Los Angeles - 90067
40995,90068,6,37,Los Angeles,Los Angeles - 90068
40996,90069,6,37,Los Angeles,Los Angeles - 90069
40997,90071,6,37,Los Angeles,Los Angeles - 90071
40998,90073,6,37,Los Angeles,Los Angeles - 90073
40999,90077,6,37,Los Angeles,Los Angeles - 90077
41000,90079,6,37,Los Angeles,Los Angeles - 90079
41001,90089,6,37,Los Angeles,Los Angeles - 90089
41002,90090,6,37,Los Angeles,Los Angeles - 90090
41003,90094,6,37,Los Angeles,Los Angeles - 90094
41004,90095,6,37,Los Angeles,Los Angeles - 90095
41005,90201,6,37,Los Angeles,Los Angeles - 90201
41006,90210,6,37,Los Angeles,Los Angeles - 90210
41007,90211,6,37,Los Angeles,Los Angeles - 90211
41008,90212,6,37,Los Angeles,Los Angeles - 90212
41009,90220,6,37,Los Angeles,Los Angeles - 90220
41010,90221,6,37,Los Angeles,Los Angeles - 90221
41011,90222,6,37,Los Angeles,Los Angeles - 90222
41012,90230,6,37,Los Angeles,Los Angeles - 90230
41013,90232,6,37,Los Angeles,Los Angeles - 90232
41014,90240,6,37,Los Angeles,Los Angeles - 90240
41015,90241,6,37,Los Angeles,Los Angeles - 90241
41016,90242,6,37,Los Angeles,Los Angeles - 90242
