Row Labels,Count of COUNTY
93252,4
96076,3
96056,3
96105,3
95645,3
95960,3
95230,3
95223,3
95626,3
95076,3
95329,3
93527,3
93461,3
93210,3
93622,3
93631,3
96134,2
95641,2
95981,2
95692,2
95668,2
95694,2
95973,2
95715,2
96022,2
95728,2
96075,2
95837,2
96111,2
95901,2
95690,2
95912,2
95977,2
95914,2
96006,2
95922,2
96025,2
95930,2
96059,2
95941,2
95646,2
95948,2
96110,2
96142,2
96118,2
95963,2
96137,2
95966,2
95970,2
96161,2
95632,2
95311,2
95391,2
95321,2
95219,2
95469,2
95389,2
95589,2
95425,2
95612,2
95618,2
95602,2
95360,2
95615,2
95361,2
95620,2
95369,2
95629,2
95377,2
95385,2
95380,2
94707,2
94588,2
95023,2
93930,2
94611,2
94028,2
94952,2
94303,2
94571,2
94505,2
94589,2
94514,2
94706,2
94515,2
94708,2
93656,2
95004,2
94550,2
94551,2
95033,2
93514,2
93619,2
93560,2
93212,2
92672,2
93215,2
93013,2
93225,2
93610,2
93238,2
93201,2
93242,2
93001,2
93243,2
93516,2
92880,2
93555,2
93254,2
93601,2
93653,2
93618,2
93626,2
93620,2
93633,2
93623,2
93454,2
93458,2
93426,2
93646,2
93451,2
93654,2
92373,2
92530,2
92399,2
91766,2
92324,2
92004,2
92397,2
92028,2
92509,2
92274,2
92277,2
92225,2
90740,2
91311,2
91304,2
89019,2
91362,2
90265,2
90815,2
90623,2
91307,2
90630,2
91361,2
90631,2
90638,2
91759,2
95664,1
96069,1
96029,1
95682,1
96115,1
95683,1
96010,1
95684,1
96050,1
95685,1
96094,1
95686,1
96133,1
95687,1
95993,1
95688,1
96020,1
95689,1
96039,1
95638,1
95669,1
95691,1
96085,1
95639,1
96107,1
95693,1
96123,1
95640,1
96143,1
95695,1
95986,1
95697,1
95665,1
95698,1
96015,1
95699,1
96024,1
95701,1
96034,1
95703,1
96046,1
95709,1
96055,1
95713,1
96064,1
95714,1
95670,1
95634,1
96090,1
95717,1
96103,1
95720,1
95675,1
95721,1
96119,1
95722,1
96128,1
95724,1
95679,1
95726,1
96150,1
95642,1
95983,1
95735,1
95988,1
95736,1
96002,1
95742,1
96008,1
95746,1
96013,1
95747,1
96017,1
95757,1
95666,1
95758,1
96027,1
95762,1
96032,1
95765,1
96037,1
95776,1
96041,1
95811,1
96048,1
95814,1
96052,1
95815,1
96057,1
95816,1
96062,1
95817,1
96067,1
95818,1
96073,1
95819,1
96080,1
95820,1
96087,1
95821,1
96092,1
95822,1
96097,1
95823,1
95673,1
95824,1
96109,1
95825,1
96113,1
95826,1
96117,1
95827,1
96121,1
95828,1
96125,1
95829,1
96130,1
95830,1
96135,1
95831,1
96141,1
95832,1
96146,1
95833,1
95979,1
95834,1
95982,1
95835,1
95984,1
95635,1
95987,1
95838,1
95991,1
95841,1
96001,1
95842,1
96003,1
95843,1
96007,1
95864,1
96009,1
95636,1
96011,1
95903,1
96014,1
95910,1
96016,1
95648,1
96019,1
95650,1
96021,1
95915,1
96023,1
95916,1
95667,1
95917,1
96028,1
95918,1
96031,1
95919,1
96033,1
95920,1
96035,1
95651,1
96038,1
95923,1
96040,1
95925,1
96044,1
95926,1
96047,1
95928,1
96049,1
95652,1
96051,1
95932,1
96054,1
95934,1
95637,1
95935,1
96058,1
95936,1
96061,1
95937,1
96063,1
95938,1
96065,1
95939,1
96068,1
95653,1
96071,1
95942,1
96074,1
95943,1
95672,1
95944,1
96084,1
95945,1
96086,1
95946,1
96088,1
95947,1
96091,1
95655,1
96093,1
95949,1
96096,1
95950,1
96101,1
95951,1
96104,1
95953,1
96106,1
96155,1
96108,1
97635,1
95674,1
95956,1
96112,1
95957,1
96114,1
95959,1
96116,1
95658,1
95677,1
95961,1
96120,1
95962,1
96122,1
95659,1
96124,1
95965,1
96126,1
95660,1
96129,1
95968,1
96132,1
95969,1
95678,1
95661,1
96136,1
95971,1
96140,1
95662,1
95680,1
95974,1
96145,1
95975,1
96148,1
95663,1
95681,1
95978,1
95954,1
95633,1
95955,1
95117,1
95490,1
95444,1
95123,1
95555,1
95124,1
95423,1
95125,1
95462,1
95126,1
95531,1
95127,1
95587,1
95128,1
95409,1
95129,1
95432,1
95130,1
95453,1
95131,1
95470,1
95132,1
95514,1
95133,1
95547,1
95134,1
95565,1
95135,1
95606,1
95136,1
95627,1
95138,1
95417,1
95139,1
95428,1
95140,1
95439,1
95148,1
95449,1
95202,1
95458,1
95203,1
95466,1
95204,1
95482,1
95205,1
95497,1
95206,1
95525,1
95207,1
95542,1
95209,1
95551,1
95210,1
95560,1
95211,1
95570,1
95212,1
95112,1
95215,1
95113,1
95046,1
95623,1
95220,1
95631,1
95222,1
95412,1
95050,1
95421,1
95224,1
95426,1
95225,1
95430,1
95226,1
95436,1
95227,1
95442,1
95228,1
95446,1
95051,1
95451,1
95231,1
95456,1
95232,1
95460,1
95233,1
95464,1
95234,1
95468,1
95236,1
95472,1
95237,1
95486,1
95240,1
95493,1
95242,1
95503,1
95245,1
95521,1
95246,1
95527,1
95247,1
95537,1
95248,1
95545,1
95249,1
95549,1
95250,1
95553,1
95251,1
95558,1
95252,1
95563,1
95254,1
95568,1
95255,1
95573,1
95257,1
95595,1
95258,1
95604,1
95301,1
95608,1
95303,1
95116,1
95304,1
95118,1
95305,1
95625,1
95306,1
95120,1
95307,1
95122,1
95310,1
95410,1
95053,1
95415,1
95312,1
95420,1
95313,1
95422,1
95314,1
95045,1
95315,1
95427,1
95316,1
95429,1
95317,1
95431,1
95318,1
95435,1
95319,1
95437,1
95320,1
95441,1
95054,1
95443,1
95322,1
95445,1
95323,1
95448,1
95324,1
95450,1
95325,1
95452,1
95326,1
95454,1
95327,1
95457,1
95328,1
95459,1
95060,1
95461,1
95330,1
95463,1
95333,1
95465,1
95334,1
95467,1
95335,1
95110,1
95336,1
95471,1
95337,1
95476,1
95338,1
95485,1
95340,1
95488,1
95341,1
95492,1
95345,1
95494,1
95346,1
95501,1
95348,1
95511,1
95350,1
95519,1
95351,1
95524,1
95354,1
95526,1
95355,1
95528,1
95356,1
95536,1
95357,1
95540,1
95358,1
95543,1
95062,1
95546,1
95064,1
95548,1
95363,1
95550,1
95364,1
95552,1
95365,1
95554,1
95366,1
95556,1
95367,1
95559,1
95368,1
95562,1
95065,1
95564,1
95370,1
95567,1
95372,1
95569,1
95374,1
95571,1
95375,1
95585,1
95376,1
95111,1
95066,1
95601,1
95379,1
95603,1
95043,1
95605,1
95382,1
95607,1
95383,1
95610,1
95070,1
95614,1
95386,1
95616,1
95387,1
95619,1
95388,1
95621,1
95073,1
95624,1
95075,1
95119,1
95401,1
95628,1
95403,1
95630,1
95404,1
95121,1
95405,1
95407,1
95005,1
94608,1
94569,1
93721,1
94925,1
93722,1
93668,1
93723,1
93675,1
93725,1
94709,1
93726,1
94951,1
93727,1
94541,1
93728,1
94560,1
93730,1
94578,1
93901,1
94598,1
93905,1
94621,1
93906,1
94850,1
93907,1
94939,1
93908,1
94965,1
93920,1
95017,1
93921,1
94546,1
93923,1
94555,1
93924,1
94565,1
93925,1
94574,1
93926,1
94583,1
93927,1
94592,1
93928,1
94603,1
93657,1
94612,1
93932,1
94705,1
93933,1
94803,1
93940,1
94920,1
93943,1
94931,1
93950,1
94946,1
93953,1
94957,1
93954,1
94973,1
93955,1
95010,1
93960,1
93711,1
93962,1
94544,1
94002,1
94548,1
94005,1
94552,1
94010,1
94558,1
94014,1
94563,1
94015,1
94567,1
94019,1
94572,1
94020,1
94576,1
94021,1
94580,1
94022,1
94586,1
94024,1
94590,1
94025,1
94596,1
94027,1
94601,1
93660,1
94606,1
94030,1
94610,1
94037,1
94618,1
94038,1
94703,1
94040,1
93704,1
94041,1
94720,1
94043,1
94805,1
94044,1
94903,1
94060,1
94923,1
94061,1
94929,1
94062,1
94937,1
94063,1
94941,1
94065,1
94949,1
94066,1
94954,1
94070,1
94963,1
94074,1
94971,1
94080,1
95003,1
94085,1
95007,1
94086,1
95013,1
94087,1
95019,1
94089,1
93720,1
94102,1
94542,1
94103,1
94545,1
94104,1
94547,1
94105,1
94549,1
94107,1
93669,1
94108,1
94553,1
94109,1
94556,1
94110,1
94559,1
94111,1
94561,1
94112,1
94564,1
94114,1
94566,1
94115,1
94568,1
94116,1
93673,1
94117,1
94573,1
94118,1
94575,1
94121,1
94577,1
94122,1
94579,1
94123,1
94582,1
94124,1
94585,1
94127,1
94587,1
94128,1
93701,1
94129,1
94591,1
