County,,Household Income,Household income (Black),Household income (Hispanic),Household income (White)
Alameda,,"$95,600 ","$45,800 ","$66,700 ","$101,300 "
Alpine,,"$55,800 ",,,
Amador,,"$60,600 ",,"$88,000 ","$58,700 "
Butte,,"$48,600 ","$32,300 ","$40,700 ","$48,900 "
Calaveras,,"$58,500 ",,"$59,400 ","$56,300 "
Colusa,,"$53,600 ",,"$51,500 ","$62,500 "
Contra Costa,,"$95,100 ","$56,800 ","$64,600 ","$101,400 "
Del Norte,,"$40,000 ",,"$31,500 ","$43,700 "
El Dorado,,"$78,500 ","$98,600 ","$58,200 ","$75,200 "
Fresno,,"$51,500 ","$28,300 ","$38,700 ","$64,600 "
Glenn,,"$50,000 ",,"$42,400 ","$48,600 "
Humboldt,,"$46,100 ","$29,200 ","$36,600 ","$46,200 "
Imperial,,"$43,400 ","$40,500 ","$42,000 ","$60,600 "
Inyo,,"$53,500 ","$69,400 ","$45,400 ","$53,700 "
Kern,,"$49,900 ","$34,000 ","$42,300 ","$61,700 "
Kings,,"$55,100 ","$45,600 ","$40,400 ","$64,000 "
Lake,,"$45,800 ","$23,000 ","$36,100 ","$43,000 "
Lassen,,"$58,800 ","$59,200 ","$46,700 ","$54,700 "
Los Angeles,,"$64,900 ","$43,700 ","$49,500 ","$80,300 "
Madera,,"$50,800 ","$34,700 ","$41,000 ","$60,400 "
Marin,,"$112,700 ","$60,800 ","$58,600 ","$115,400 "
Mariposa,,"$52,400 ",,"$43,200 ","$53,300 "
Mendocino,,"$50,500 ",,"$36,400 ","$50,800 "
Merced,,"$48,000 ","$40,500 ","$41,600 ","$54,100 "
Modoc,,"$41,000 ",,"$27,000 ","$42,500 "
Mono,,"$60,300 ",,"$46,800 ","$68,900 "
Monterey,,"$70,300 ","$60,300 ","$52,300 ","$78,800 "
Napa,,"$83,900 ","$73,600 ","$60,800 ","$88,200 "
Nevada,,"$64,900 ","$60,400 ","$47,300 ","$61,300 "
Orange,,"$86,000 ","$73,700 ","$61,200 ","$93,500 "
Placer,,"$81,400 ","$72,300 ","$68,000 ","$81,100 "
Plumas,,"$51,800 ",,"$41,200 ","$51,800 "
Riverside,,"$63,800 ","$54,100 ","$51,900 ","$67,900 "
Sacramento,,"$63,000 ","$42,100 ","$51,000 ","$66,600 "
San Benito,,"$77,200 ","$98,400 ","$67,400 ","$94,000 "
San Bernardino,,"$60,300 ","$43,100 ","$53,300 ","$62,400 "
San Diego,,"$76,000 ","$51,600 ","$52,600 ","$80,300 "
San Francisco,,"$109,600 ","$30,200 ","$67,300 ","$121,200 "
San Joaquin,,"$61,000 ","$38,100 ","$49,200 ","$67,800 "
San Luis Obispo,,"$70,600 ","$53,700 ","$54,300 ","$71,900 "
San Mateo,,"$115,900 ","$57,300 ","$70,600 ","$121,900 "
Santa Barbara,,"$70,700 ","$53,500 ","$53,400 ","$80,100 "
Santa Clara,,"$118,500 ","$71,500 ","$69,100 ","$118,200 "
Santa Cruz,,"$76,600 ","$50,100 ","$52,500 ","$82,100 "
Shasta,,"$51,200 ","$37,400 ","$36,800 ","$48,400 "
Sierra,,"$49,500 ",,"$20,800 ","$45,100 "
Siskiyou,,"$44,000 ",,"$31,800 ","$43,300 "
Solano,,"$75,900 ","$55,500 ","$62,300 ","$80,200 "
Sonoma,,"$79,500 ","$60,200 ","$59,300 ","$76,100 "
Stanislaus,,"$58,900 ","$38,600 ","$47,400 ","$60,800 "
Sutter,,"$54,100 ","$57,300 ","$42,000 ","$62,400 "
Tehama,,"$41,800 ","$75,800 ","$41,700 ","$43,500 "
Trinity,,"$40,700 ",,"$55,200 ","$40,000 "
Tulare,,"$46,400 ","$26,900 ","$36,900 ","$58,300 "
Tuolumne,,"$58,800 ",,"$47,400 ","$55,200 "
Ventura,,"$82,400 ","$77,800 ","$62,900 ","$91,800 "
Yolo,,"$64,900 ","$26,300 ","$51,500 ","$72,000 "
