zip,State,County
00616,72,13
00617,72,54
00624,72,111
00652,72,13
00660,72,67
00670,72,83
00669,72,81
00683,72,97
00704,72,123
00728,72,113
00729,72,29
00730,72,113
00735,72,37
00739,72,41
00766,72,149
00772,72,87
00794,72,19
00920,72,127
00919,72,127
00921,72,21
00957,72,21
01430,25,27
01475,25,27
01560,25,27
01721,25,17
01778,25,17
01821,25,17
01844,25,9
01851,25,17
01852,25,17
01862,25,17
01938,25,9
01945,25,9
02026,25,21
02054,25,21
02081,25,21
02111,25,25
02126,25,25
02134,25,25
02143,25,17
02150,25,25
02170,25,21
02186,25,21
02191,25,21
02339,25,23
02347,25,23
02368,25,21
02467,25,21
02476,25,17
02532,25,23
02584,25,19
02673,25,1
02646,25,1
02667,25,1
02638,25,1
03235,33,13
03226,33,1
03223,33,9
03054,33,11
03038,33,15
03447,33,5
03279,33,9
03801,33,15
03841,33,15
03851,33,17
03867,33,17
03875,33,3
03870,33,15
03901,23,31
03592,33,7
03464,33,5
03745,33,19
03455,33,5
03580,33,9
03576,33,7
03581,33,7
03451,33,5
03605,33,19
04021,23,5
04005,23,31
04017,23,5
04252,23,1
04256,23,1
04260,23,5
04224,23,17
04071,23,5
04066,23,5
04360,23,11
04614,23,9
04576,23,15
04626,23,29
04739,23,3
04694,23,29
04652,23,29
04427,23,19
04449,23,19
04428,23,19
04434,23,19
04462,23,19
04930,23,19
04854,23,13
04947,23,7
04864,23,13
04951,23,27
05201,50,3
05401,50,7
05341,50,25
04976,23,25
05035,50,27
05001,50,27
05051,50,17
04961,23,7
05468,50,7
05459,50,11
05680,50,19
05674,50,23
05682,50,23
05679,50,17
05860,50,19
05872,50,19
05778,50,1
05775,50,21
05853,50,19
05602,50,23
05669,50,23
05666,50,23
05658,50,23
01037,25,27
01022,25,13
01030,25,13
01008,25,13
01035,25,15
01108,25,13
01301,25,11
01225,25,3
01339,25,11
01340,25,11
01258,25,3
01253,25,3
01226,25,3
01071,25,13
01057,25,13
02703,25,5
02717,25,5
01379,25,11
02766,25,5
02827,44,3
02838,44,7
02840,44,5
02858,44,7
02842,44,5
02832,44,9
02746,25,5
02863,44,7
02895,44,7
02907,44,7
02898,44,9
02914,44,7
06040,9,3
06037,9,3
06013,9,3
06010,9,3
06033,9,3
06095,9,3
06106,9,3
06250,9,13
06129,9,3
06234,9,15
06066,9,3
06074,9,3
06062,9,3
06320,9,11
06340,9,11
06457,9,7
06424,9,7
06418,9,9
06444,9,3
06447,9,3
06443,9,9
06484,9,1
06488,9,9
06480,9,7
06461,9,9
06410,9,9
06371,9,11
06375,9,11
06415,9,7
06513,9,9
06759,9,5
06798,9,5
06791,9,5
06520,9,9
06517,9,9
06850,9,1
06840,9,1
07023,34,39
06906,9,1
07032,34,3
07081,34,39
07077,34,23
07071,34,3
07090,34,39
07058,34,27
07107,34,13
07104,34,13
07401,34,3
07405,34,27
07310,34,17
07450,34,3
07424,34,31
07435,34,31
07438,34,27
07114,34,39
07503,34,31
07463,34,3
07645,34,3
07662,34,3
07657,34,3
07641,34,3
07801,34,27
07834,34,27
07675,34,3
07538,34,31
07866,34,27
07920,34,35
07852,34,27
08829,34,19
08823,34,35
08844,34,35
07974,34,39
08869,34,35
07726,34,25
07746,34,25
07754,34,25
07750,34,25
07722,34,25
07723,34,25
08021,34,7
08008,34,29
08005,34,29
08056,34,15
08069,34,33
08062,34,15
08028,34,15
08063,34,15
08078,34,7
08094,34,15
08077,34,5
08036,34,5
08048,34,5
08037,34,7
08201,34,1
08302,34,11
08270,34,9
08343,34,33
08343,34,15
08360,34,1
08501,34,25
08247,34,9
08607,34,21
08533,34,29
08611,34,21
08730,34,25
08750,34,25
19702,10,3
08721,34,29
08648,34,21
19716,10,3
19734,10,3
19941,10,5
19968,10,5
19973,10,5
19904,10,1
19808,10,3
19899,10,3
10012,36,61
10021,36,61
10022,36,61
10075,36,61
10069,36,61
10165,36,61
10452,36,5
10457,36,5
10470,36,5
10512,36,79
10473,36,5
10511,36,119
10464,36,5
10541,36,79
10548,36,119
10710,36,119
10707,36,119
10924,36,71
10952,36,87
12457,36,111
12401,36,111
12459,36,25
12470,36,39
10993,36,87
12402,36,111
12494,36,111
12529,36,21
10956,36,87
10980,36,87
10973,36,71
12564,36,27
12775,36,105
12723,36,105
12701,36,105
12758,36,105
11102,36,81
11105,36,81
11204,36,47
11217,36,47
11225,36,47
